Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All_NBA_Label,All_NBA_Target,Season_End_Year
467.0,Leandro Bolmaro,21.0,MIN,SF,35.0,2.0,241.0,17.0,54.0,0.315,5.0,18.0,0.278,12.0,36.0,0.333,0.361,11.0,13.0,0.846,16.0,27.0,43.0,21.0,6.0,0.0,13.0,26.0,50.0,0.0,,bolmale01,5.4,0.419,0.333,0.241,6.9,12.3,9.6,11.0,1.2,0.0,17.9,12.6,-0.1,0.2,0.0,0.004,-5.1,-0.7,-5.8,-0.2,None,0,2022
534.0,Isaac Bonga,22.0,TOR,SF,15.0,0.0,69.0,3.0,13.0,0.231,1.0,4.0,0.25,2.0,9.0,0.222,0.269,5.0,8.0,0.625,4.0,3.0,7.0,4.0,8.0,2.0,2.0,10.0,12.0,0.0,,bongais01,8.7,0.363,0.308,0.615,6.0,5.0,5.5,7.3,5.8,2.8,10.8,11.5,-0.1,0.1,0.1,0.06,-5.4,5.0,-0.4,0.0,None,0,2022
8.0,Devin Booker,25.0,PHO,SG,68.0,68.0,2345.0,662.0,1421.0,0.466,183.0,478.0,0.383,479.0,943.0,0.508,0.53,315.0,363.0,0.868,45.0,297.0,342.0,329.0,77.0,26.0,162.0,180.0,1822.0,0.0,MVP-4ASNBA1,bookede01,21.3,0.576,0.336,0.255,2.1,13.2,7.8,22.4,1.6,1.0,9.3,32.0,4.3,3.3,7.6,0.156,3.9,0.2,4.1,3.6,NBA1,3,2022
286.0,Brandon Boston Jr.,20.0,LAC,SG,51.0,0.0,760.0,125.0,325.0,0.385,34.0,111.0,0.306,91.0,214.0,0.425,0.437,59.0,72.0,0.819,17.0,94.0,111.0,51.0,26.0,13.0,31.0,43.0,343.0,0.0,,bostobr01,11.2,0.481,0.342,0.222,2.4,12.7,7.7,10.1,1.7,1.5,8.0,22.4,-0.5,0.9,0.4,0.026,-3.0,-0.4,-3.3,-0.3,None,0,2022
133.0,Chris Boucher,29.0,TOR,SF,80.0,9.0,1690.0,268.0,577.0,0.464,68.0,229.0,0.297,200.0,348.0,0.575,0.523,150.0,193.0,0.777,179.0,315.0,494.0,25.0,49.0,75.0,42.0,174.0,754.0,0.0,,bouchch01,17.9,0.57,0.397,0.334,10.9,21.3,15.8,2.2,1.4,4.3,6.0,17.8,3.5,2.4,6.0,0.169,0.5,-0.4,0.1,0.9,None,0,2022
396.0,James Bouknight,21.0,CHO,SG,31.0,0.0,304.0,49.0,141.0,0.348,17.0,49.0,0.347,32.0,92.0,0.348,0.408,27.0,31.0,0.871,22.0,30.0,52.0,26.0,7.0,1.0,15.0,29.0,142.0,0.0,,bouknja01,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,-0.1,0.1,0.0,0.001,-3.4,-3.7,-7.1,-0.4,None,0,2022
264.0,Avery Bradley,31.0,LAL,SG,62.0,45.0,1406.0,148.0,350.0,0.423,82.0,210.0,0.39,66.0,140.0,0.471,0.54,16.0,18.0,0.889,31.0,105.0,136.0,47.0,53.0,9.0,38.0,118.0,394.0,0.0,,bradlav01,7.8,0.55,0.6,0.051,2.4,8.0,5.2,4.5,1.8,0.6,9.6,12.1,0.3,0.9,1.2,0.04,-3.5,-0.1,-3.6,-0.6,None,0,2022
379.0,Tony Bradley,24.0,CHI,C,55.0,7.0,549.0,72.0,123.0,0.585,0.0,0.0,,72.0,123.0,0.585,0.585,19.0,29.0,0.655,67.0,119.0,186.0,27.0,10.0,33.0,34.0,62.0,163.0,0.0,,bradlto01,14.9,0.6,0.0,0.236,13.8,24.3,19.1,6.7,0.9,5.2,20.0,13.6,0.6,0.7,1.3,0.112,-2.0,0.2,-1.8,0.0,None,0,2022
351.0,Ignas Brazdeikis,23.0,ORL,SF,42.0,1.0,536.0,81.0,188.0,0.431,27.0,87.0,0.31,54.0,101.0,0.535,0.503,21.0,32.0,0.656,23.0,49.0,72.0,37.0,10.0,3.0,17.0,48.0,210.0,0.0,,brazdig01,10.2,0.52,0.463,0.17,4.5,9.7,7.1,10.7,0.9,0.5,7.8,17.7,0.2,0.3,0.5,0.041,-2.7,-1.6,-4.3,-0.3,None,0,2022
59.0,Mikal Bridges,25.0,PHO,SF,82.0,82.0,2854.0,458.0,858.0,0.534,115.0,312.0,0.369,343.0,546.0,0.628,0.601,131.0,157.0,0.834,74.0,273.0,347.0,185.0,96.0,36.0,68.0,150.0,1162.0,0.0,DPOY-2DEF1,bridgmi01,14.4,0.627,0.364,0.183,2.9,10.0,6.5,8.7,1.6,1.1,6.8,15.0,5.2,3.7,8.9,0.15,0.5,1.1,1.6,2.6,None,0,2022
15.0,Miles Bridges,23.0,CHO,PF,80.0,80.0,2837.0,596.0,1214.0,0.491,154.0,465.0,0.331,442.0,749.0,0.59,0.554,267.0,333.0,0.802,90.0,469.0,559.0,300.0,74.0,67.0,150.0,193.0,1613.0,0.0,,bridgmi02,17.9,0.593,0.383,0.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,5.0,2.3,7.2,0.123,1.8,-0.3,1.5,2.5,None,0,2022
181.0,Oshae Brissett,23.0,IND,SF,67.0,25.0,1564.0,208.0,506.0,0.411,83.0,237.0,0.35,125.0,269.0,0.465,0.493,114.0,164.0,0.695,108.0,250.0,358.0,72.0,44.0,29.0,54.0,116.0,613.0,0.0,,brissos01,12.9,0.53,0.468,0.324,7.6,18.1,12.8,6.4,1.4,1.6,8.5,17.3,1.4,0.9,2.2,0.069,-0.5,-1.7,-2.2,-0.1,None,0,2022
151.0,Malcolm Brogdon,29.0,IND,PG,36.0,36.0,1206.0,243.0,543.0,0.448,58.0,186.0,0.312,185.0,357.0,0.518,0.501,143.0,167.0,0.856,33.0,152.0,185.0,212.0,30.0,14.0,77.0,71.0,687.0,1.0,,brogdma01,18.0,0.557,0.343,0.308,3.0,14.3,8.6,26.9,1.2,1.0,11.1,24.6,2.2,0.4,2.7,0.106,2.8,-0.5,2.3,1.3,None,0,2022
317.0,Armoni Brooks,23.0,2TM,SG,54.0,11.0,844.0,98.0,289.0,0.339,74.0,249.0,0.297,24.0,40.0,0.6,0.467,18.0,21.0,0.857,20.0,83.0,103.0,62.0,28.0,11.0,27.0,74.0,288.0,0.0,,brookar01,8.4,0.483,0.862,0.073,2.5,10.9,6.7,10.4,1.6,1.2,8.3,16.4,-0.1,0.4,0.2,0.014,-2.6,-1.3,-3.9,-0.4,None,0,2022
191.0,Dillon Brooks,26.0,MEM,SF,32.0,31.0,885.0,227.0,526.0,0.432,46.0,149.0,0.309,181.0,377.0,0.48,0.475,90.0,106.0,0.849,29.0,73.0,102.0,88.0,36.0,8.0,50.0,105.0,590.0,0.0,,brookdi01,15.5,0.515,0.283,0.202,3.4,8.8,6.0,15.4,1.9,0.8,8.0,28.8,0.7,0.9,1.6,0.087,-1.0,-0.8,-1.8,0.0,None,0,2022
169.0,Bruce Brown,25.0,BRK,SF,72.0,45.0,1774.0,256.0,506.0,0.506,38.0,94.0,0.404,218.0,412.0,0.529,0.543,97.0,128.0,0.758,100.0,245.0,345.0,148.0,77.0,52.0,56.0,176.0,647.0,0.0,,brownbr01,15.0,0.575,0.186,0.253,6.3,14.7,10.6,11.5,2.1,2.6,9.1,15.0,2.8,2.0,4.8,0.13,-0.4,1.1,0.7,1.2,None,0,2022
495.0,Charlie Brown Jr.,24.0,2TM,SG,22.0,2.0,177.0,10.0,39.0,0.256,1.0,12.0,0.083,9.0,27.0,0.333,0.269,9.0,10.0,0.9,14.0,18.0,32.0,6.0,10.0,4.0,5.0,18.0,30.0,0.0,,brownch02,6.5,0.346,0.308,0.256,9.0,11.2,10.1,4.5,2.8,2.0,10.3,12.3,-0.2,0.2,0.0,0.012,-5.2,0.4,-4.8,-0.1,None,0,2022
492.0,Chaundee Brown Jr.,23.0,2TM,SF,5.0,2.0,104.0,10.0,32.0,0.313,6.0,18.0,0.333,4.0,14.0,0.286,0.406,5.0,6.0,0.833,1.0,15.0,16.0,4.0,2.0,0.0,1.0,7.0,31.0,0.0,,brownch05,6.4,0.447,0.563,0.188,1.1,15.7,8.4,5.1,0.9,0.0,2.8,14.9,0.0,0.0,0.0,0.002,-4.3,-2.4,-6.6,-0.1,None,0,2022
345.0,Greg Brown III,20.0,POR,SF,48.0,6.0,640.0,81.0,190.0,0.426,19.0,61.0,0.311,62.0,129.0,0.481,0.476,44.0,65.0,0.677,38.0,97.0,135.0,35.0,26.0,24.0,36.0,90.0,225.0,0.0,,browngr01,11.0,0.515,0.321,0.342,6.3,17.3,11.6,8.1,2.0,3.7,14.1,17.2,-0.1,0.5,0.4,0.029,-4.0,-0.7,-4.7,-0.4,None,0,2022
17.0,Jaylen Brown,25.0,BOS,SF,66.0,66.0,2220.0,576.0,1217.0,0.473,166.0,464.0,0.358,410.0,753.0,0.544,0.541,241.0,318.0,0.758,53.0,351.0,404.0,231.0,70.0,18.0,178.0,163.0,1559.0,2.0,,brownja02,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,2.3,3.4,5.8,0.124,1.9,0.1,2.1,2.2,None,0,2022
378.0,Moses Brown,22.0,2TM,C,40.0,6.0,345.0,64.0,108.0,0.593,0.0,0.0,,64.0,108.0,0.593,0.593,43.0,72.0,0.597,39.0,96.0,135.0,1.0,7.0,16.0,20.0,53.0,171.0,0.0,,brownmo01,18.5,0.612,0.0,0.667,12.7,30.5,21.7,0.4,1.0,4.2,12.5,20.7,0.5,0.7,1.2,0.16,-2.4,-0.9,-3.3,-0.1,None,0,2022
