Team,Pos,Age,G,GS,MP,WS,WS/48,BPM,VORP,LEBRON,O-LEBRON,D-LEBRON,WAR,Season_End_Year,All_NBA_Target
DET,SG,27.0,82.0,27.0,2131.0,1.7,0.037,-2.5,-0.3,-1.5,0.28,-1.79,1.12,2011,0
LAC,SG,22.0,56.0,56.0,2112.0,5.3,0.12,2.0,2.2,1.26,2.69,-1.43,5.05,2011,0
2TM,C,26.0,80.0,14.0,2032.0,6.4,0.152,0.9,1.5,0.19,-1.14,1.33,3.4,2011,0
CLE,SF,28.0,39.0,8.0,586.0,0.0,-0.004,-5.8,-0.6,-2.99,-2.71,-0.28,-0.27,2011,0
NJN,SG,28.0,59.0,28.0,959.0,-0.3,-0.014,-6.8,-1.2,-4.48,-2.86,-1.62,-1.35,2011,0
IND,SF,27.0,79.0,79.0,2763.0,6.9,0.12,2.1,2.9,1.71,1.71,0.0,7.45,2011,0
NOH,C,26.0,41.0,6.0,531.0,1.1,0.1,-4.0,-0.3,-1.42,-1.95,0.53,0.31,2011,0
NOH,SG,29.0,77.0,13.0,1674.0,1.8,0.052,-2.8,-0.3,-2.87,-2.28,-0.59,-0.64,2011,0
LAC,PF,21.0,82.0,82.0,3112.0,9.8,0.152,2.6,3.6,1.8,2.2,-0.4,8.57,2011,0
DET,SG,32.0,55.0,39.0,1498.0,1.8,0.059,-1.6,0.1,-1.98,0.14,-2.12,0.31,2011,0
IND,PF,25.0,70.0,29.0,1535.0,3.8,0.118,-1.9,0.0,-1.51,-0.36,-1.16,0.8,2011,0
2TM,PF,23.0,49.0,0.0,640.0,0.6,0.048,-3.7,-0.3,-1.15,-0.91,-0.24,0.49,2011,0
OKC,SG,21.0,82.0,5.0,2189.0,7.1,0.156,1.9,2.2,1.33,1.63,-0.3,5.33,2011,0
DEN,PF,30.0,73.0,3.0,1665.0,2.1,0.06,-1.7,0.1,-1.32,0.09,-1.41,1.08,2011,0
2TM,PG,27.0,71.0,70.0,2254.0,4.2,0.089,0.6,1.5,1.65,2.13,-0.48,5.98,2011,0
CLE,SG,21.0,54.0,15.0,933.0,0.0,0.002,-3.5,-0.4,-2.21,-1.62,-0.59,0.05,2011,0
MIA,PF,30.0,13.0,0.0,345.0,0.9,0.13,-2.3,0.0,-1.92,-1.78,-0.14,0.09,2011,0
